mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,read_ahead_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,304,74,5113,442,3503,1,,Mr,19.sql,"lineitem,part"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,263,73,10225,1314,3503,0,,Mr,20.sql,"lineitem,nation,part,partsupp,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,297,80,10225,1314,3503,0,,Mr,20.sql,"lineitem,nation,part,partsupp,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,368,90,10225,1314,3503,0,,Mr,20.sql,"lineitem,nation,part,partsupp,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,2485,2326,2457968,35,19358,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,2643,2465,2458477,43,19333,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,2626,2449,2457901,51,19226,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,1157,1221,842109,6,26288,2,,Mr,22.sql,"customer,orders"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,1193,1248,842109,6,26288,2,,Mr,22.sql,"customer,orders"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,1198,1252,842109,6,26288,2,,Mr,22.sql,"customer,orders"
