mode,strategy,run_number,user,cpu_ms,elapsed_ms,logical_reads,rows_returned,errors,machine,policy_id,policy_name,predicate_function,predicate_columns,table_affected,query_name,tables_used
WITH_RLS,NO_CARTESIAN,2,user1,3227,286,104890,1,,Mr,P3,lineitem_rls_policy,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,1015,98,104890,1,,Mr,P3,lineitem_rls_policy,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3054,275,104890,1,,Mr,P3,lineitem_rls_policy,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1045,97,104890,1,,Mr,P3,lineitem_rls_policy,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,3120,280,104890,1,,Mr,P3,lineitem_rls_policy,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1008,90,104890,1,,Mr,P3,lineitem_rls_policy,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,3045,283,104890,1,,Mr,P3,lineitem_rls_policy,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,1105,110,104890,1,,Mr,P3,lineitem_rls_policy,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,3102,298,104890,1,,Mr,P4,lineitem_rls_policy,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,803,74,104890,1,,Mr,P4,lineitem_rls_policy,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,3128,301,104890,1,,Mr,P4,lineitem_rls_policy,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,1070,101,104890,1,,Mr,P4,lineitem_rls_policy,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3222,297,104890,1,,Mr,P4,lineitem_rls_policy,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1027,104,104890,1,,Mr,P4,lineitem_rls_policy,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,2856,272,104890,1,,Mr,P4,lineitem_rls_policy,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,688,72,104890,1,,Mr,P4,lineitem_rls_policy,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,2754,261,104890,1,,Mr,P4,lineitem_rls_policy,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,581,59,104890,1,,Mr,P4,lineitem_rls_policy,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
