mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE1_CARTESIAN,5,user1,P6;P33;P14,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p14_customer_asia_balance,lineitem;orders;customer,195021,25723,27978740,876,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,1,user1,P6;P33;P14,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p14_customer_asia_balance,lineitem;orders;customer,789,82,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,2,user1,P6;P33;P14,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p14_customer_asia_balance,lineitem;orders;customer,914,97,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,3,user1,P6;P33;P14,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p14_customer_asia_balance,lineitem;orders;customer,933,94,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,4,user1,P6;P33;P14,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p14_customer_asia_balance,lineitem;orders;customer,983,99,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,5,user1,P6;P33;P14,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p14_customer_asia_balance,lineitem;orders;customer,822,92,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,1,user1,P6;P33;P23,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p23_customer_multi_supplier,lineitem;orders;customer,4716229,432464,501578521,4088,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,2,user1,P6;P33;P23,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p23_customer_multi_supplier,lineitem;orders;customer,4743217,441426,501578521,4088,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,3,user1,P6;P33;P23,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p23_customer_multi_supplier,lineitem;orders;customer,4852840,424964,501578521,4088,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,4,user1,P6;P33;P23,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p23_customer_multi_supplier,lineitem;orders;customer,4785720,432659,501578521,4088,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,5,user1,P6;P33;P23,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p23_customer_multi_supplier,lineitem;orders;customer,4635184,415620,501578521,4088,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,1,user1,P6;P33;P23,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p23_customer_multi_supplier,lineitem;orders;customer,897,92,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,2,user1,P6;P33;P23,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p23_customer_multi_supplier,lineitem;orders;customer,1108,112,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,3,user1,P6;P33;P23,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p23_customer_multi_supplier,lineitem;orders;customer,1067,111,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,4,user1,P6;P33;P23,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p23_customer_multi_supplier,lineitem;orders;customer,991,104,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,5,user1,P6;P33;P23,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p23_customer_multi_supplier,lineitem;orders;customer,893,99,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,1,user1,P6;P33;P17,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,8676,8244,13572264,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,2,user1,P6;P33;P17,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,8953,8507,13572264,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,3,user1,P6;P33;P17,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,9405,8970,13572264,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,4,user1,P6;P33;P17,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,9350,8874,13572264,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,5,user1,P6;P33;P17,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,9180,8779,13572264,0,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,1,user1,P6;P33;P17,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,874,89,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,2,user1,P6;P33;P17,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,1140,117,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,3,user1,P6;P33;P17,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,815,88,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,4,user1,P6;P33;P17,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,985,100,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,5,user1,P6;P33;P17,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,827,108,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,1,user1,P6;P33;P15,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,194620,28042,32462739,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,2,user1,P6;P33;P15,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,214075,31770,32462739,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,3,user1,P6;P33;P15,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,186702,27892,32462739,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,4,user1,P6;P33;P15,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,181202,28539,32462739,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,5,user1,P6;P33;P15,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,183456,27703,32462739,0,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,1,user1,P6;P33;P15,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,846,85,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,2,user1,P6;P33;P15,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,1072,107,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,3,user1,P6;P33;P15,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,1084,112,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,4,user1,P6;P33;P15,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,1043,103,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,5,user1,P6;P33;P15,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,926,91,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,1,user1,P6;P33;P29,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,4515344,401352,501578521,4088,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,2,user1,P6;P33;P29,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,4875966,438441,501578521,4088,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,3,user1,P6;P33;P29,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,4918142,436553,501578521,4088,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,4,user1,P6;P33;P29,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,4913788,440272,501578521,4088,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,5,user1,P6;P33;P29,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,4909026,435322,501578521,4088,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,1,user1,P6;P33;P29,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,1764,172,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,2,user1,P6;P33;P29,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,1821,178,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,3,user1,P6;P33;P29,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,1764,181,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,4,user1,P6;P33;P29,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,1832,187,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,5,user1,P6;P33;P29,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,1825,182,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,1,user1,P6;P21;P14,dbo.p6_ship_commit;dbo.p21_orders_high_revenue;dbo.p14_customer_asia_balance,lineitem;orders;customer,15924,14364,18370948,1078,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,2,user1,P6;P21;P14,dbo.p6_ship_commit;dbo.p21_orders_high_revenue;dbo.p14_customer_asia_balance,lineitem;orders;customer,16559,14430,18370948,1078,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,3,user1,P6;P21;P14,dbo.p6_ship_commit;dbo.p21_orders_high_revenue;dbo.p14_customer_asia_balance,lineitem;orders;customer,16767,14509,18370948,1078,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,4,user1,P6;P21;P14,dbo.p6_ship_commit;dbo.p21_orders_high_revenue;dbo.p14_customer_asia_balance,lineitem;orders;customer,16586,14412,18370948,1078,,Mr,3.sql,"lineitem,orders,customer"
