mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,read_ahead_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE2_EXPLICIT,2,user1,P12,dbo.p12_orders_discount_revenue,orders,119258,12039,8942536,5,142957,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P12,dbo.p12_orders_discount_revenue,orders,116257,11333,8942536,5,142964,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P13,dbo.p13_orders_customer_europe,orders,120441,12286,9350106,3302,120086,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P13,dbo.p13_orders_customer_europe,orders,117757,11643,9350106,3303,120086,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P13,dbo.p13_orders_customer_europe,orders,115383,11472,9350106,3303,120087,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P14,dbo.p14_customer_asia_balance,customer,101714,10415,9350106,3302,120086,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P14,dbo.p14_customer_asia_balance,customer,94890,9626,9350106,3303,120095,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P14,dbo.p14_customer_asia_balance,customer,96183,9666,9350106,3303,120094,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P15,dbo.p15_customer_recent_large_orders,customer,97195,9796,9350106,3302,120087,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P15,dbo.p15_customer_recent_large_orders,customer,97181,9800,9350106,3302,120086,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P15,dbo.p15_customer_recent_large_orders,customer,129933,12761,9350106,3303,120086,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P16,dbo.p16_lineitem_region_quantity,lineitem,145236,38199,45568161,440,142972,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P16,dbo.p16_lineitem_region_quantity,lineitem,133386,37384,45568161,441,142967,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P16,dbo.p16_lineitem_region_quantity,lineitem,135488,38070,45568161,441,142956,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P16,dbo.p16_lineitem_supplier_region_share,lineitem,199713,95710,125254121,3303,120088,187,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P16,dbo.p16_lineitem_supplier_region_share,lineitem,203663,96105,125254121,3304,120087,187,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P16,dbo.p16_lineitem_supplier_region_share,lineitem,201234,94426,125254121,3304,120087,187,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P17,dbo.p17_customer_active_no_cancel,customer,122248,11996,9350106,3303,120088,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P17,dbo.p17_customer_active_no_cancel,customer,115353,11239,9350106,3303,120087,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P17,dbo.p17_customer_active_no_cancel,customer,115085,11314,9350106,3303,120088,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P18,dbo.p18_supplier_brushed_copper,supplier,1329,1227,2457857,59,19168,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P18,dbo.p18_supplier_brushed_copper,supplier,1413,1319,2457777,59,19154,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P18,dbo.p18_supplier_brushed_copper,supplier,1364,1256,2457425,52,19200,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P18,dbo.p24_supplier_multi_region,supplier,15093,12664,18663442,21,130596,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P18,dbo.p24_supplier_multi_region,supplier,15450,13016,18656615,23,130553,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P18,dbo.p24_supplier_multi_region,supplier,15960,13600,18650086,32,130573,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P19,dbo.p19_part_supplier_europe,part,103341,11348,8942671,5,142969,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P19,dbo.p19_part_supplier_europe,part,120594,12207,8942671,5,142957,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P19,dbo.p19_part_supplier_europe,part,119199,12063,8942671,5,142965,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P1,dbo.p1_last_5y,lineitem,104242,10381,8723916,4,120087,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P1,dbo.p1_last_5y,lineitem,106990,10785,8723916,4,120087,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P1,dbo.p1_last_5y,lineitem,108530,10932,8723916,4,120087,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P20,dbo.p20_part_avg_supplycost,part,117376,11716,8942671,5,142956,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P20,dbo.p20_part_avg_supplycost,part,116639,11359,8942671,5,142957,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P20,dbo.p20_part_avg_supplycost,part,119082,11715,8942671,5,142956,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P21,dbo.p21_orders_high_revenue,orders,120934,12441,8942671,5,142966,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P21,dbo.p21_orders_high_revenue,orders,119466,12252,8942671,5,142959,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P21,dbo.p21_orders_high_revenue,orders,120273,12063,8942671,5,142957,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P22,dbo.p22_orders_no_late_shipments,orders,133985,14804,8942671,5,142959,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P22,dbo.p22_orders_no_late_shipments,orders,117636,11679,8942671,5,142967,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P22,dbo.p22_orders_no_late_shipments,orders,116421,11637,8942671,5,142958,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P23,dbo.p23_customer_multi_supplier,customer,121937,12208,9350106,3302,120086,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P23,dbo.p23_customer_multi_supplier,customer,133827,12861,9350106,3302,120088,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P23,dbo.p23_customer_multi_supplier,customer,139956,13410,9350106,3303,120086,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
